,logreg,ridge,lasso,rf,xgb,svm
2015→2015,0.995463945033687,0.995463945033687,0.9983466270238333,0.9996783784556448,0.9996712313102148,0.9933388604591328
2015→2017,0.266254675953626,0.266254675953626,0.2539160533614389,0.5469851229818212,0.6580851892613798,0.2630325048864131
2015→2020,0.7307747247026097,0.7307747247026097,0.6777719695479644,0.5708363761093425,0.6425765215360438,0.7527056351231198
2015→2022,0.5398384802173036,0.5398384802173036,0.5224461082949489,0.5657660122783861,0.6658753771919357,0.5613513320016265
2017→2015,0.641065292489785,0.641065292489785,0.6356930954063416,0.5020874539360991,0.5209064161721944,0.6349813072088549
2017→2017,0.99040349180041,0.99040349180041,0.9906293230674754,0.9995489977912118,0.9996414433391332,0.99061347525926
2017→2020,0.3090862085399158,0.3090862085399158,0.3180779684624327,0.6301949891141092,0.6193968352656548,0.3619918663079835
2017→2022,0.4916154546845421,0.4916154546845421,0.4833636684460264,0.6265652838908762,0.6591957412121788,0.491477012773364
2020→2015,0.5760225680188161,0.5760225680188161,0.5776690912131093,0.3972600830934937,0.4815095407105054,0.5962523177495811
2020→2017,0.7446312870589771,0.7446312870589771,0.7564756798622281,0.4888822540630447,0.5024495613193722,0.7221782278573059
2020→2020,0.8861745473711036,0.8861745473711036,0.8863121025379652,0.8840221709969998,0.8968886469205019,0.8859008849865051
2020→2022,0.4896899058117692,0.4896899058117692,0.4939924193178586,0.5298392472811971,0.5420438010938307,0.488706387030156
2022→2015,0.3281358860741855,0.3281358860741855,0.3263427677241751,0.3333507033322529,0.293950964683929,0.3321974117556335
2022→2017,0.8271828946949824,0.8271828946949824,0.8270305394348576,0.759333358276685,0.8008620702411123,0.8369318345761148
2022→2020,0.7716378142576985,0.7716378142576985,0.7720745423925218,0.7765053333431092,0.7826920351134058,0.7727496597534275
2022→2022,0.8355537156743412,0.8355537156743412,0.8355745574550519,0.8516131221409176,0.8582003648713041,0.8336425683552794
