,cresci_2015__on__cresci_2015,cresci_2015__on__cresci_2017,cresci_2015__on__twibot_2020,cresci_2015__on__twibot_2022,cresci_2017__on__cresci_2015,cresci_2017__on__cresci_2017,cresci_2017__on__twibot_2020,cresci_2017__on__twibot_2022,twibot_2020__on__cresci_2015,twibot_2020__on__cresci_2017,twibot_2020__on__twibot_2020,twibot_2020__on__twibot_2022,twibot_2022__on__cresci_2015,twibot_2022__on__cresci_2017,twibot_2022__on__twibot_2020,twibot_2022__on__twibot_2022
has_bio,0.0041091875,0.023310391,0.02602859,0.025395397,0.004561022,0.003603932,0.004764489,0.004049257,0.021542193,0.015746577,0.0060017696,0.006998766,0.37241498,0.38598514,0.36393932,0.17138857
log1p_followers,0.016293092,0.008943322,0.008261967,0.011350829,0.032508917,0.023415368,0.03308052,0.03359258,0.11102796,0.09579679,0.021514088,0.018462613,0.25590938,0.24609059,0.1634968,0.19441876
verified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35896954,0.6757991,0.0,0.0,0.09386941,0.05568333
statuses_per_day,0.005751033,0.008594374,0.007506935,0.007612846,0.27615264,0.18487178,0.2782041,0.22370572,0.022792047,0.02167923,0.0058624665,0.007830818,0.008318697,0.008061137,0.007647649,0.0051223016
graph_neighbor_avg_in_degree,0.10233618,0.23657869,0.21234816,0.2798661,0.012912679,0.008017748,0.019637214,0.012341977,0.019647723,0.01886034,0.005178734,0.0073266523,0.010424638,0.009604083,0.008322886,0.0065172217
graph_neighbor_avg_degree_total,0.0775038,0.20186095,0.2298414,0.15901324,0.037101038,0.022693697,0.028394299,0.031969108,0.02259905,0.0216889,0.0070831333,0.008767689,0.0035489378,0.0034200451,0.0035949876,0.002221618
reply_ratio,0.0076918183,0.01624148,0.0,0.014022159,0.22103669,0.1529196,0.0,0.21734808,0.0,0.0,0.0,0.0,0.006039728,0.005758639,0.0,0.003928315
graph_reciprocity_ratio,0.08658109,0.14777198,0.13765773,0.15412253,0.0051475083,0.0,0.005595775,0.0,0.019690527,0.018908542,0.005803484,0.0070693796,0.004519871,0.004246176,0.0065484596,0.0069738915
log1p_statuses,0.007940984,0.009174264,0.009304831,0.008378399,0.060042776,0.023055788,0.06445655,0.11490488,0.023643615,0.022026906,0.0054091853,0.008517356,0.057347644,0.0573897,0.048706256,0.025531126
ff_ratio,0.010991633,0.012277505,0.012465827,0.012510875,0.016762836,0.009336146,0.015918322,0.016063176,0.15052305,0.1398458,0.0146546615,0.030308459,0.0081870835,0.008227817,0.009008826,0.0040383805
avg_mentions,0.009153361,0.017041193,0.011833466,0.020421328,0.052327704,0.055823795,0.13351074,0.04638596,0.030793097,0.028159473,0.0114658745,0.012920203,0.004698153,0.0047384812,0.0036345273,0.0029209147
graph_ff_ratio,0.10101547,0.077020764,0.054878898,0.056687962,0.0024283675,0.0,0.008452234,0.0050283405,0.01677639,0.018810855,0.0038292534,0.006759337,0.0058283135,0.005805633,0.0056381025,0.0037031115
log1p_listed,0.0047617443,0.012634112,0.010791275,0.009188277,0.0127675915,0.015121151,0.014438563,0.013403744,0.09389864,0.10473883,0.0054111257,0.011401311,0.00810524,0.007963007,0.011376683,0.00247185
followers_per_day,0.005143923,0.016518397,0.013766373,0.009784869,0.012208568,0.006873479,0.012934726,0.014439381,0.026912244,0.026296392,0.0057606953,0.009035869,0.048000533,0.048056465,0.05667827,0.014216925
graph_neighbor_avg_ff_ratio,0.02371921,0.051838838,0.067421146,0.055416256,0.012211512,0.005511383,0.012359489,0.011561534,0.024446556,0.021948088,0.006735399,0.008343687,0.0053979363,0.0052832514,0.0038224745,0.0035158002
log1p_tweet_count,0.035312124,0.025012232,0.027935343,0.025976589,0.021737605,0.01632852,0.02262651,0.024206227,0.021575231,0.02301134,0.008513635,0.008677727,0.008289492,0.008253662,0.0061600544,0.00793459
has_tweet_data,0.0,0.0,0.007920252,0.0067927456,0.02940231,0.0065969606,0.060035065,0.04663973,0.009472432,0.036999274,0.0,0.0,0.03565349,0.0333538,0.0054336516,0.0069808234
avg_urls,0.016930126,0.02097923,0.024869138,0.019429246,0.014913079,0.013903833,0.02631235,0.01041002,0.03466272,0.03300079,0.012749785,0.016298717,0.0062114387,0.006098824,0.0045012194,0.0035070863
log1p_friends,0.0057873162,0.0075503127,0.008209041,0.006812784,0.02317935,0.014642848,0.025791198,0.022587622,0.026103415,0.022913735,0.008431583,0.009474047,0.022487413,0.02224979,0.020224184,0.0106205875
avg_hashtags,0.0045060813,0.009002151,0.009452067,0.010734792,0.015448921,0.0057401694,0.0336246,0.009151782,0.031534012,0.029807279,0.010192805,0.012882792,0.017182155,0.01691545,0.013778815,0.011537242
